Customer_segment,Total Customers,Percentage
Slipping,45585,48.82868986792634
New Shopper,17845,19.114795891041915
Hibernating,15957,17.092451556926637
VIP at Risk,13564,14.529172959713787
Champion,406,0.4348897243913151
